광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,농축산,저탄소 벼논물 관리,2025,502,4,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,농축산,저탄소 벼논물 관리,2026,502,4,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,농축산,저탄소 벼논물 관리,2027,502,4,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,농축산,저탄소 벼논물 관리,2028,502,4,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,농축산,저탄소 벼논물 관리,2029,502,4,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,농축산,저탄소 벼논물 관리,2030,502,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,농축산,저탄소 벼논물 관리,2034,2007,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,농축산,조사료보급,2025,2355,100,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,농축산,조사료보급,2026,2355,100,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,농축산,조사료보급,2027,2355,100,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,농축산,조사료보급,2028,2355,100,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,농축산,조사료보급,2029,2355,100,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,농축산,조사료보급,2030,2355,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,농축산,조사료보급,2034,9420,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,농축산,토양개량제 공급,2025,314,85,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,농축산,토양개량제 공급,2026,188,85,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,농축산,토양개량제 공급,2027,94,85,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,농축산,토양개량제 공급,2028,314,85,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,농축산,토양개량제 공급,2029,188,85,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,농축산,토양개량제 공급,2030,314,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,농축산,토양개량제 공급,2034,910,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,1톤화물차 전동화 개조 지원,2025,2,15,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,1톤화물차 전동화 개조 지원,2026,4,15,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,1톤화물차 전동화 개조 지원,2027,5,15,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,1톤화물차 전동화 개조 지원,2028,6,15,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,1톤화물차 전동화 개조 지원,2029,7,15,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,1톤화물차 전동화 개조 지원,2030,8,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,1톤화물차 전동화 개조 지원,2034,45,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,4등급 노후경유차 조기폐차 지원,2025,4591,2294,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,4등급 노후경유차 조기폐차 지원,2026,5707,2220,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,4등급 노후경유차 조기폐차 지원,2027,6823,2220,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,4등급 노후경유차 조기폐차 지원,2028,7753,1850,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,4등급 노후경유차 조기폐차 지원,2029,8683,1850,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,4등급 노후경유차 조기폐차 지원,2030,9427,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,4등급 노후경유차 조기폐차 지원,2034,43844,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,5등급 노후경유차 조기폐차 지원,2025,8768,947,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,5등급 노후경유차 조기폐차 지원,2026,9698,800,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,5등급 노후경유차 조기폐차 지원,2027,10628,800,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,5등급 노후경유차 조기폐차 지원,2028,11372,640,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,5등급 노후경유차 조기폐차 지원,2029,12116,640,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,5등급 노후경유차 조기폐차 지원,2030,12674,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,5등급 노후경유차 조기폐차 지원,2034,54974,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,건설기계 엔진교체 지원,2025,27,858,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,건설기계 엔진교체 지원,2026,33,858,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,건설기계 엔진교체 지원,2027,40,858,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,건설기계 엔진교체 지원,2028,47,858,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,건설기계 엔진교체 지원,2029,54,858,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,건설기계 엔진교체 지원,2030,60,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,건설기계 엔진교체 지원,2034,309,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,경유 지게차 전동화 지원,2025,5,60,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,경유 지게차 전동화 지원,2026,7,60,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,경유 지게차 전동화 지원,2027,9,60,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,경유 지게차 전동화 지원,2028,12,60,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,경유 지게차 전동화 지원,2029,14,60,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,경유 지게차 전동화 지원,2030,17,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,경유 지게차 전동화 지원,2034,90,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,경유차 저감장치(DPF) 부착 지원,2025,0,825,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,경유차 저감장치(DPF) 부착 지원,2026,0,825,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,경유차 저감장치(DPF) 부착 지원,2027,0,825,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,경유차 저감장치(DPF) 부착 지원,2028,0,825,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,경유차 저감장치(DPF) 부착 지원,2029,0,825,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,경유차 저감장치(DPF) 부착 지원,2030,0,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,경유차 저감장치(DPF) 부착 지원,2034,0,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,노후 건설기계 조기폐차 지원,2025,234,48,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,노후 건설기계 조기폐차 지원,2026,253,37,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,노후 건설기계 조기폐차 지원,2027,272,37,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,노후 건설기계 조기폐차 지원,2028,290,37,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,노후 건설기계 조기폐차 지원,2029,309,37,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,노후 건설기계 조기폐차 지원,2030,327,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,노후 건설기계 조기폐차 지원,2034,1495,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,수소버스 구입지원,2025,109,309,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,수소버스 구입지원,2026,291,515,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,수소버스 구입지원,2027,582,824,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,수소버스 구입지원,2028,983,1133,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,수송,수소버스 구입지원,2029,1274,824,,,,,,,,,,,,,,,,,
