광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,건물,하절기 청사 냉방관리,2034,1,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,농축산,농업분야 에너지 절감 지원 사업,2025,15,507,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,농축산,농업분야 에너지 절감 지원 사업,2026,15,507,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,농축산,농업분야 에너지 절감 지원 사업,2027,15,507,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,농축산,농업분야 에너지 절감 지원 사업,2028,15,507,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,농축산,농업분야 에너지 절감 지원 사업,2029,15,507,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,농축산,농업분야 에너지 절감 지원 사업,2030,15,2535,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,농축산,농업분야 에너지 절감 지원 사업,2034,15,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,농축산,도시열섬 완화를 위한 도시노업 텃밭조성 사업,2025,0,230,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,농축산,도시열섬 완화를 위한 도시노업 텃밭조성 사업,2026,0,230,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,농축산,도시열섬 완화를 위한 도시노업 텃밭조성 사업,2027,0,230,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,농축산,도시열섬 완화를 위한 도시노업 텃밭조성 사업,2028,0,230,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,농축산,도시열섬 완화를 위한 도시노업 텃밭조성 사업,2029,0,230,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,농축산,도시열섬 완화를 위한 도시노업 텃밭조성 사업,2030,0,1150,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,농축산,도시열섬 완화를 위한 도시노업 텃밭조성 사업,2034,0,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,농축산,친환경 농업,2025,19,633,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,농축산,친환경 농업,2026,19,298,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,농축산,친환경 농업,2027,19,642,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,농축산,친환경 농업,2028,19,647,,,,,,,,,,,,,,,,,
