광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,공공 제로에너지건축물 보급사업(비주거용),2029,33,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,공공 제로에너지건축물 보급사업(비주거용),2030,33,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,공공 제로에너지건축물 보급사업(비주거용),2034,132,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,공공건물 BEMS 도입(빌딩에너지관리시스템),2025,53,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,공공건물 BEMS 도입(빌딩에너지관리시스템),2026,53,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,공공건물 BEMS 도입(빌딩에너지관리시스템),2027,53,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,공공건물 BEMS 도입(빌딩에너지관리시스템),2028,53,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,공공건물 BEMS 도입(빌딩에너지관리시스템),2029,53,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,공공건물 BEMS 도입(빌딩에너지관리시스템),2030,53,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,공공건물 BEMS 도입(빌딩에너지관리시스템),2034,436,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,[그린도시] 공공건물 에너지효율 개선,2025,0,"3,658",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,[그린도시] 공공건물 에너지효율 개선,2026,129,"2,400",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,[그린도시] 공공건물 에너지효율 개선,2027,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,[그린도시] 공공건물 에너지효율 개선,2028,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,[그린도시] 공공건물 에너지효율 개선,2029,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,[그린도시] 공공건물 에너지효율 개선,2030,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,[그린도시] 공공건물 에너지효율 개선,2034,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,[그린도시] 통합관제 플랫폼,2025,0,800,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,"LED 보급(주택, 비주택 민간)",2025,1,35,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,"LED 보급(주택, 비주택 민간)",2026,1,35,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,"LED 보급(주택, 비주택 민간)",2027,1,35,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,"LED 보급(주택, 비주택 민간)",2028,1,35,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,"LED 보급(주택, 비주택 민간)",2029,1,35,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,"LED 보급(주택, 비주택 민간)",2030,1,35,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,"LED 보급(주택, 비주택 민간)",2034,4,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,LED 조명 교체_가로등(장안구),2025,6,75,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,LED 조명 교체_가로등(장안구),2026,6,80,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,LED 조명 교체_가로등(장안구),2027,6,85,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,LED 조명 교체_가로등(장안구),2028,6,90,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,LED 조명 교체_가로등(장안구),2029,6,95,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,LED 조명 교체_가로등(장안구),2030,6,100,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,LED 조명 교체_가로등(장안구),2034,24,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,LED 조명 교체_가로등(권선구),2025,61,216,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,LED 조명 교체_가로등(권선구),2026,34,125,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,LED 조명 교체_가로등(권선구),2027,34,125,,,,,,,,,,,,,,,,,,
