광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,탄소중립포인트제 확대,2026,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,탄소중립포인트제 확대,2027,54,270,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,탄소중립포인트제 확대,2028,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,탄소중립포인트제 확대,2029,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,탄소중립포인트제 확대,2030,54,315,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,탄소중립포인트제 확대,2034,107,490,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,농축산,로컬푸드 육성 활성화,2025,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,농축산,로컬푸드 육성 활성화,2026,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,농축산,로컬푸드 육성 활성화,2027,666,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,농축산,로컬푸드 육성 활성화,2028,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,농축산,로컬푸드 육성 활성화,2029,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,농축산,로컬푸드 육성 활성화,2030,666,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,농축산,로컬푸드 육성 활성화,2034,888,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,농축산,양식장 에너지 절감 시설 보급 확대,2025,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,농축산,양식장 에너지 절감 시설 보급 확대,2026,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,농축산,양식장 에너지 절감 시설 보급 확대,2027,2304,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,농축산,양식장 에너지 절감 시설 보급 확대,2028,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,농축산,양식장 에너지 절감 시설 보급 확대,2029,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,농축산,양식장 에너지 절감 시설 보급 확대,2030,2304,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,농축산,양식장 에너지 절감 시설 보급 확대,2034,3072,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,농축산,어선 친환경 에너지 절감 장비 지원,2025,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,농축산,어선 친환경 에너지 절감 장비 지원,2026,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,농축산,어선 친환경 에너지 절감 장비 지원,2027,1050,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,농축산,어선 친환경 에너지 절감 장비 지원,2028,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,농축산,어선 친환경 에너지 절감 장비 지원,2029,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,농축산,어선 친환경 에너지 절감 장비 지원,2030,1125,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,농축산,어선 친환경 에너지 절감 장비 지원,2034,2000,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,농축산,저 메탄 사료 보급,2025,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,농축산,저 메탄 사료 보급,2026,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,농축산,저 메탄 사료 보급,2027,25,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,농축산,저 메탄 사료 보급,2028,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,농축산,저 메탄 사료 보급,2029,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,농축산,저 메탄 사료 보급,2030,36,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,농축산,저 메탄 사료 보급,2034,48,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,농축산,저탄소 벼 재배기술 교육 및 홍보,2025,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,농축산,저탄소 벼 재배기술 교육 및 홍보,2026,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,농축산,저탄소 벼 재배기술 교육 및 홍보,2027,180,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,농축산,저탄소 벼 재배기술 교육 및 홍보,2028,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,농축산,저탄소 벼 재배기술 교육 및 홍보,2029,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,농축산,저탄소 벼 재배기술 교육 및 홍보,2030,180,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,농축산,저탄소 벼 재배기술 교육 및 홍보,2034,240,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,거제시 무공해차 전용구역 시범운영,2025,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,거제시 무공해차 전용구역 시범운영,2026,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,거제시 무공해차 전용구역 시범운영,2027,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,거제시 무공해차 전용구역 시범운영,2028,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,거제시 무공해차 전용구역 시범운영,2029,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,거제시 무공해차 전용구역 시범운영,2030,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,거제시 무공해차 전용구역 시범운영,2034,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,거제시 에코드라이빙 마일리지 제도 도입,2025,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,거제시 에코드라이빙 마일리지 제도 도입,2026,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,수송,거제시 에코드라이빙 마일리지 제도 도입,2027,0,0,,,,,,,,,,,,,,,,
