광역,지역명,사업명,온실가스감축량_합계_톤,예산_합계_백만원
경기,고양시,찾아가는 자전거 수리 판매센터 ,0.0,0.0
대구,달서구,순회 자전거 수리 서비스 실시,0.0,12.0
서울,강남구,자전거 무상수리 센터 운영,0.0,3500.0
서울,강동구,자전거수리센터 운영,0.0,2245.0
서울,노원구,자전거 수리 바우처 지급,0.0,875.0
서울,동작구,"자전거도로 및 자전거이용시설 점검·정비로
 
 이용 활성화 (무상수리센터 운영)",0.0,114.0
