광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원)
강원,강릉시,강원 강릉시,흡수원,바이오숲 조성 및 운영,2029,0,198
강원,강릉시,강원 강릉시,흡수원,바이오숲 조성 및 운영,2030,0,0
강원,강릉시,강원 강릉시,흡수원,바이오숲 조성 및 운영,2034,0,0
강원,강릉시,강원 강릉시,흡수원,보호수정비,2025,0,70
강원,강릉시,강원 강릉시,흡수원,보호수정비,2026,0,70
강원,강릉시,강원 강릉시,흡수원,보호수정비,2027,0,70
강원,강릉시,강원 강릉시,흡수원,보호수정비,2028,0,70
강원,강릉시,강원 강릉시,흡수원,보호수정비,2029,0,70
강원,강릉시,강원 강릉시,흡수원,보호수정비,2030,0,0
강원,강릉시,강원 강릉시,흡수원,보호수정비,2034,0,0
강원,강릉시,강원 강릉시,흡수원,산불피해지 복구조림,2025,346,1382
