광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,쿨루프 보급,2028,3577,5896,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,쿨루프 보급,2029,6706,13758,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,쿨루프 보급,2030,11176,19654,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,쿨루프 보급,2034,44704,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,탄소중립 에너지교육 프로그램 운영,2025,0,21,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,탄소중립 에너지교육 프로그램 운영,2026,0,21,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,탄소중립 에너지교육 프로그램 운영,2027,0,21,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,탄소중립 에너지교육 프로그램 운영,2028,0,21,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,탄소중립 에너지교육 프로그램 운영,2029,0,21,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,탄소중립 에너지교육 프로그램 운영,2030,0,21,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,탄소중립 에너지교육 프로그램 운영,2034,0,84,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,탄소포인트제(에너지) 운영 확대,2025,4441,235,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,탄소포인트제(에너지) 운영 확대,2026,4494,235,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,탄소포인트제(에너지) 운영 확대,2027,4548,235,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,탄소포인트제(에너지) 운영 확대,2028,4601,235,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,탄소포인트제(에너지) 운영 확대,2029,4655,235,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,탄소포인트제(에너지) 운영 확대,2030,4708,235,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,탄소포인트제(에너지) 운영 확대,2034,19367,940,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,해상풍력발전단지 조성사업,2025,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,해상풍력발전단지 조성사업,2026,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,해상풍력발전단지 조성사업,2027,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,해상풍력발전단지 조성사업,2028,0,0,,,,,,,,,,,,,,,,
