광역,지역명,사업명,온실가스감축량_합계_톤,예산_합계_백만원
경북,의성군,청소년센터 수영장 히트펌프 설치,628.0,190.0
대전,중구,전기히트펌프 교체,57.0,292.0
서울,강남구,히트펌프 도입,6543.0,5880.0
서울,관악구,히트펌프 설치(기름 보일러),584.0,0.0
서울,관악구,히트펌프 설치(도시가스 보일러),393.0,0.0
서울,관악구,히트펌프 설치(전기히터 보일러),383.0,0.0
서울,동작구,"히트펌프 도입을 통한
 
 화석연료 사용시설 전기화",40465.0,36372.0
전남,순천시,기존건축물 그린리모델링 사업(전기히트펌프),0.0,1363.0
충남,태안군,친환경에너지 (히트펌프) 보급,3765.0,27000.0
충북,증평군,히트펌프 설치,276.0,300.0
