광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,지열 보급 확대,2027,224,1920,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,지열 보급 확대,2028,239,1920,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,지열 보급 확대,2029,253,1920,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,지열 보급 확대,2030,267,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,지열 보급 확대,2034,325,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,태양열 보급 확대,2025,219,1920,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,태양열 보급 확대,2026,227,1920,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,태양열 보급 확대,2027,236,1920,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,태양열 보급 확대,2028,245,1920,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,태양열 보급 확대,2029,253,1920,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,태양열 보급 확대,2030,262,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,태양열 보급 확대,2034,296,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,수송,노후경유차 조기폐차,2025,6102,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,수송,노후경유차 조기폐차,2026,6810,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,수송,노후경유차 조기폐차,2027,7518,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,수송,노후경유차 조기폐차,2028,8226,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,수송,노후경유차 조기폐차,2029,8934,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,수송,노후경유차 조기폐차,2030,96420,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,수송,노후경유차 조기폐차,2034,12474,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,수송,수소 버스 보급확대,2025,1092,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,수송,수소 버스 보급확대,2026,1274,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,수송,수소 버스 보급확대,2027,1456,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,수송,수소 버스 보급확대,2028,1638,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,수송,수소 버스 보급확대,2029,1819,0,,,,,,,,,,,,,,,,,,
