광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,농축산,논물관리,2027,336,0,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,농축산,논물관리,2028,336,0,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,농축산,논물관리,2029,448,0,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,농축산,논물관리,2030,448,0,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,농축산,논물관리,2034,448,0,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,농축산,조사료 보급 지원,2025,451,1204,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,농축산,조사료 보급 지원,2026,451,1204,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,농축산,조사료 보급 지원,2027,451,1204,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,농축산,조사료 보급 지원,2028,451,1204,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,농축산,조사료 보급 지원,2029,451,1204,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,농축산,조사료 보급 지원,2030,451,6022,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,농축산,조사료 보급 지원,2034,451,6022,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,농축산,친환경농업 지원,2025,12,715,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,농축산,친환경농업 지원,2026,12,715,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,농축산,친환경농업 지원,2027,12,715,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,농축산,친환경농업 지원,2028,13,715,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,농축산,친환경농업 지원,2029,13,715,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,농축산,친환경농업 지원,2030,16,3577,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,농축산,친환경농업 지원,2034,16,3577,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,수송,LPG 1톤 화물차 신차구매지원,2025,0,0,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,수송,LPG 1톤 화물차 신차구매지원,2026,0,0,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,수송,LPG 1톤 화물차 신차구매지원,2027,0,0,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,수송,LPG 1톤 화물차 신차구매지원,2028,0,0,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,수송,LPG 1톤 화물차 신차구매지원,2029,0,0,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,수송,LPG 1톤 화물차 신차구매지원,2030,0,0,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,수송,LPG 1톤 화물차 신차구매지원,2034,0,0,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,수송,공용자전거 운영,2025,14,342,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,수송,공용자전거 운영,2026,16,342,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,수송,공용자전거 운영,2027,16,342,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,수송,공용자전거 운영,2028,16,342,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,수송,공용자전거 운영,2029,16,342,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,수송,공용자전거 운영,2030,23,1710,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,수송,공용자전거 운영,2034,23,1710,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,수송,노후경유차 조기폐차,2025,1185,1332,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,수송,노후경유차 조기폐차,2026,707,1332,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,수송,노후경유차 조기폐차,2027,707,1332,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,수송,노후경유차 조기폐차,2028,707,1332,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,수송,노후경유차 조기폐차,2029,707,1332,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,수송,노후경유차 조기폐차,2030,707,6661,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,수송,노후경유차 조기폐차,2034,707,6661,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,수송,수소자동차(승용) 보급,2025,9,1000,,,,,,,,,,,,,,,,,,
