광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,녹색건축물 조성 지원,2029,1,60,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,녹색건축물 조성 지원,2030,1,60,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,녹색건축물 조성 지원,2034,5,240,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,도로 가로등·보안등 LED 교체,2025,87,400,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,도로 가로등·보안등 LED 교체,2026,102,466,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,도로 가로등·보안등 LED 교체,2027,208,951,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,도로 가로등·보안등 LED 교체,2028,262,1200,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,도로 가로등·보안등 LED 교체,2029,262,1200,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,도로 가로등·보안등 LED 교체,2030,262,1200,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,도로 가로등·보안등 LED 교체,2034,1396,6400,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,민간 건물 온실가스 신고등급제 사업 활성화(대상건물),2025,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,민간 건물 온실가스 신고등급제 사업 활성화(대상건물),2026,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,민간 건물 온실가스 신고등급제 사업 활성화(대상건물),2027,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,민간 건물 온실가스 신고등급제 사업 활성화(대상건물),2028,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,민간 건물 온실가스 신고등급제 사업 활성화(대상건물),2029,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,민간 건물 온실가스 신고등급제 사업 활성화(대상건물),2030,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,민간 건물 온실가스 신고등급제 사업 활성화(대상건물),2034,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,복지시설 LED 보급,2025,0,75,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,복지시설 LED 보급,2026,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,복지시설 LED 보급,2027,2,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,복지시설 LED 보급,2028,2,7,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,복지시설 LED 보급,2029,4,7,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,복지시설 LED 보급,2030,4,15,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,복지시설 LED 보급,2034,7,15,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,빗물이용시설 설치,2025,0,0,,,,,,,,,,,,,,,,,,,,
