광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,건물,탄소포인트제 가입가구 인센티브 지원,2028,171 ,16 ,,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,건물,탄소포인트제 가입가구 인센티브 지원,2029,171 ,16 ,,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,건물,탄소포인트제 가입가구 인센티브 지원,2030,171 ,16 ,,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,건물,탄소포인트제 가입가구 인센티브 지원,2034,684 ,64 ,,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,농축산,수산양식 친환경 에너지시설 보급(히트펌프),2025,384 ,384 ,,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,농축산,수산양식 친환경 에너지시설 보급(히트펌프),2026,767 ,384 ,,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,농축산,수산양식 친환경 에너지시설 보급(히트펌프),2027,"1,151 ",384 ,,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,농축산,수산양식 친환경 에너지시설 보급(히트펌프),2028,"1,534 ",384 ,,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,농축산,수산양식 친환경 에너지시설 보급(히트펌프),2029,"1,918 ",384 ,,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,농축산,수산양식 친환경 에너지시설 보급(히트펌프),2030,"2,302 ",384 ,,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,농축산,수산양식 친환경 에너지시설 보급(히트펌프),2034,"13,042 ","1,536 ",,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,농축산,시설원예 ICT융복합 확산사업,2025,0 ,445 ,,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,농축산,시설원예 ICT융복합 확산사업,2026,0 ,445 ,,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,농축산,시설원예 ICT융복합 확산사업,2027,0 ,445 ,,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,농축산,시설원예 ICT융복합 확산사업,2028,0 ,445 ,,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,농축산,시설원예 ICT융복합 확산사업,2029,0 ,445 ,,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,농축산,시설원예 ICT융복합 확산사업,2030,0 ,445 ,,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,농축산,시설원예 ICT융복합 확산사업,2034,0 ,"1,781 ",,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,농축산,시설원예 에너지 절감시설 지원(다겹보온커튼),2025,215 ,220 ,,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,농축산,시설원예 에너지 절감시설 지원(다겹보온커튼),2026,430 ,220 ,,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,농축산,시설원예 에너지 절감시설 지원(다겹보온커튼),2027,645 ,220 ,,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,농축산,시설원예 에너지 절감시설 지원(다겹보온커튼),2028,860 ,220 ,,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,농축산,시설원예 에너지 절감시설 지원(다겹보온커튼),2029,"1,075 ",220 ,,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,농축산,시설원예 에너지 절감시설 지원(다겹보온커튼),2030,"1,290 ",220 ,,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,농축산,시설원예 에너지 절감시설 지원(다겹보온커튼),2034,"7,310 ",880 ,,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,농축산,어선 친환경 에너지 절감장비 지원사업,2025,0 ,18 ,,,,,,,,,,,,,,,,,,
