광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,건물,공공기관 온실가스 목표관리제,2026,0,0,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,건물,공공기관 온실가스 목표관리제,2027,0,0,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,건물,공공기관 온실가스 목표관리제,2028,0,0,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,건물,공공기관 온실가스 목표관리제,2029,0,0,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,건물,공공기관 온실가스 목표관리제,2030,0,0,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,건물,공공기관 온실가스 목표관리제,2034,0,0,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,건물,그린리모델링,2025,567,578,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,건물,그린리모델링,2026,577,480,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,건물,그린리모델링,2027,589,480,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,건물,그린리모델링,2028,604,480,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,건물,그린리모델링,2029,620,480,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,건물,그린리모델링,2030,627,480,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,건물,그린리모델링,2034,659,480,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,건물,사회복지시설 LED 조명교체,2025,173,37,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,건물,사회복지시설 LED 조명교체,2026,182,37,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,건물,사회복지시설 LED 조명교체,2027,192,37,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,건물,사회복지시설 LED 조명교체,2028,205,37,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,건물,사회복지시설 LED 조명교체,2029,219,37,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,건물,사회복지시설 LED 조명교체,2030,235,37,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,건물,사회복지시설 LED 조명교체,2034,301,37,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,운행경유차 배출가스 저감,2025,5848,1386,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,운행경유차 배출가스 저감,2026,6449,1386,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,운행경유차 배출가스 저감,2027,6990,1386,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,운행경유차 배출가스 저감,2028,7477,1386,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,운행경유차 배출가스 저감,2029,7915,1386,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,운행경유차 배출가스 저감,2030,8310,1386,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,운행경유차 배출가스 저감,2034,9530,1386,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,자동차 탄소중립 포인트제 시행,2025,2,2,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,자동차 탄소중립 포인트제 시행,2026,3,4,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,자동차 탄소중립 포인트제 시행,2027,4,4,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,자동차 탄소중립 포인트제 시행,2028,5,4,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,자동차 탄소중립 포인트제 시행,2029,5,4,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,자동차 탄소중립 포인트제 시행,2030,7,3,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,자동차 탄소중립 포인트제 시행,2034,8,3,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,친환경 에너지절감장비(선박) 보급사업,2025,2640,50,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,친환경 에너지절감장비(선박) 보급사업,2026,2720,55,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,친환경 에너지절감장비(선박) 보급사업,2027,2880,60,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,친환경 에너지절감장비(선박) 보급사업,2028,3040,65,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,친환경 에너지절감장비(선박) 보급사업,2029,3280,65,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,친환경 에너지절감장비(선박) 보급사업,2030,3520,65,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,친환경 에너지절감장비(선박) 보급사업,2034,4480,65,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,친환경자동차 민간보급(승용차),2025,399,3200,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,친환경자동차 민간보급(승용차),2026,438,3200,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,친환경자동차 민간보급(승용차),2027,501,4000,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,친환경자동차 민간보급(승용차),2028,574,4000,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,친환경자동차 민간보급(승용차),2029,651,4000,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,친환경자동차 민간보급(승용차),2030,758,4000,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,친환경자동차 민간보급(승용차),2034,1216,4000,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,친환경자동차 민간보급(이륜차),2025,37,0,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,친환경자동차 민간보급(이륜차),2026,44,0,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,친환경자동차 민간보급(이륜차),2027,54,0,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,친환경자동차 민간보급(이륜차),2028,67,0,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,친환경자동차 민간보급(이륜차),2029,83,0,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,친환경자동차 민간보급(이륜차),2030,103,0,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,친환경자동차 민간보급(이륜차),2034,187,0,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,친환경자동차 민간보급(화물차),2025,620,0,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,친환경자동차 민간보급(화물차),2026,680,0,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,친환경자동차 민간보급(화물차),2027,777,0,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,친환경자동차 민간보급(화물차),2028,896,0,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,수송,친환경자동차 민간보급(화물차),2029,1015,0,,,,,,,,,,,,,,,,,
